rowid,unique_id,equipment_id,asset_id,brand,model,yom,voltage,contract,serial_no,recommendation_status,dismiss,recommended_on,inpected_on,created_on,modified_on,c_year,display_color
141,"",STN/TESTSTATION-3/SWB/TESTBOARD-1/PNL/TESTPANEL-3,"",Schneider,WSA,0,22,"",,"",f,,,2023-11-17 22:33:59.229632+00,2023-12-06 08:01:40.566741+00,0,#C1FF33
118,cjjicccph6mp33l9u8eg,STN/DFNTXSS20120000004DX/SWB/SWDB-1/PNL/PANEL-7,SN-1189,Hitachi,HS20GF,1993,22,"",,-,f,,,2023-08-24 09:43:13.859076+00,2023-08-24 09:43:13.859076+00,2020,#FFFF00
128,cjjicccph6mp33l9uaug,STN/DFNTXSS20120000004DX/SWB/SWDB-1/PNL/PANEL-9,SN-1539,MG,F400,1988,22,"",,-,f,,,2023-08-24 09:43:13.980244+00,2023-08-24 09:43:13.980244+00,2022,#FFA500
121,cjjicccph6mp33l9uatg,STN/TESTSTATION-1/SWB/TESTBOARD-1/PNL/TESTPANEL-1,SN-1113,MG,MG,2010,22,"",,-,f,,,2023-08-24 09:43:13.899697+00,2023-08-24 09:43:13.899697+00,2019,#FF00FF
127,cjjicccph6mp33l9u8pg,STN/TESTSTATION-1/SWB/TESTBOARD-1/PNL/TESTPANEL-3,SN-1314,Meiden,20GB,2020,22,"",,-,f,,,2023-08-24 09:43:13.968697+00,2023-08-24 09:43:13.968697+00,2021,#C0C0C0
120,cjjicccph6mp33l9uasg,STN/TESTSTATION-1/SWB/TESTBOARD-1/PNL/TESTPANEL-4,SN-1333,Meiden,YG-22,1992,22,"",,-,f,,,2023-08-24 09:43:13.888317+00,2023-08-24 09:43:13.888317+00,2021,#33FFBD
125,cjjicccph6mp33l9uavg,STN/TESTSTATION-2/SWB/TESTBOARD-1/PNL/TESTPANEL-1,SN-1102,Schneider,WSA,2016,22,"",,-,f,,,2023-08-24 09:43:13.946219+00,2023-08-24 09:43:13.946219+00,2019,#C1FF33
138,"",STN/TESTSTATION-X/SWB/TESTBOARD-X/PNL/RPI-1,"",Schneider,WSA,2015,22,Contract-2015,,"",f,,,2023-10-20 03:04:25.27019+00,2023-10-24 08:08:36.611529+00,0,#C1FF33
123,cjjicccph6mp33l9u7qg,STN/DFNTXSS20120000004DX/SWB/SWDB-1/PNL/PANEL-4,SN-1407,ABB,ZX2,2020,22,"",,-,f,,,2023-08-24 09:43:13.923211+00,2023-08-24 09:43:13.923211+00,2021,#00FF00
142,"",STN/TESTSTATION-3/SWB/TESTBOARD-1/PNL/TESTPANEL-1,"",Schneider,WSA,0,22,"",,"",f,,,2023-11-17 22:36:18.872173+00,2024-08-14 02:44:24.449014+00,0,#C1FF33
144,"",STN/TESTSTATION-3/SWB/TESTBOARD-1/PNL/TESTPANEL-5,"",Schneider,WSA,1970,22,123,,"",f,,,2024-04-09 02:47:45.730269+00,2024-04-09 02:48:19.126782+00,0,#C1FF33
134,DFNTXSS20120000004DX,STN/DFNTXSS20120000004DX/SWB/SWDB-1/PNL/PANEL-2,dummy-asset,Schneider,WSA,2016,22,todo-contract,,"",f,,,2023-10-18 09:43:13.923211+00,2023-10-25 06:31:09.163151+00,1,#C1FF33
122,cjjicccph6mp33l9ubag,STN/TESTSTATION-2/SWB/TESTBOARD-1/PNL/TESTPANEL-3,SN-1226,Toshiba,VB2,1983,22,"",,-,f,,,2023-08-24 09:43:13.911702+00,2023-08-24 09:43:13.911702+00,2020,#8e7cc3
126,cjjicccph6mp33l9ub4g,STN/TESTSTATION-2/SWB/TESTBOARD-1/PNL/TESTPANEL-2,SN-1192,Siemens,8DA10,1996,22,"",,-,f,,,2023-08-24 09:43:13.957378+00,2023-08-24 09:43:13.957378+00,2020,#76a5af
139,"",STN/TESTSTATION-X/SWB/TESTBOARD-X/PNL/RPI-0,"",Schneider,WSA,0,22,"",,"",f,,,2023-10-23 02:28:11.702183+00,2023-10-23 02:28:11.702183+00,0,#C1FF33
140,dummy-id-ABB-ZV2,STN/DFNTXSS20120000004DX/SWB/SWDB-1/PNL/PANEL-2,dummy-asset-ABB-ZV2,ABB,ZV2,0,22,dummy-contract,,,f,,,2023-10-18 09:43:13.923211+00,2023-10-18 09:43:13.923211+00,1,#FF5133
136,todo-id,STN/TESTSTATION-2/SWB/TESTBOARD-1/PNL/TESTPANEL-4,todo-asset,Schneider,WSA,2016,22,todo-contract,,"",f,,,2023-10-20 01:16:06.898488+00,2023-11-16 09:07:48.283366+00,2016,#C1FF33
143,"",STN/TESTSTATION-3/SWB/TESTBOARD-1/PNL/TESTPANEL-2,"",Schneider,WSA,0,22,"",,"",f,,,2023-11-17 22:39:46.510395+00,2023-11-17 23:04:23.97317+00,0,#C1FF33
119,cjjicccph6mp33l9ua8g,STN/TESTSTATION-1/SWB/TESTBOARD-1/PNL/TESTPANEL-2,SN-1262,Schneider,WSA,0,22,"",,"",f,,,2023-08-24 09:43:13.876669+00,2024-05-15 09:45:23.414443+00,2020,#C1FF33
145,"",STN/TESTSTATION-4/SWB/TESTBOARD-1/PNL/TESTPANEL-1,"",Schneider,WSA,0,22,"",,"",f,,,2024-05-13 03:05:35.123937+00,2024-05-16 01:46:03.128063+00,0,#C1FF33
